,Datetime,Content ID,Content Type,Category Type,Reaction Type,Sentiment Type,Score
1,07-11-2020 09:43,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,disgust,negative,0
2,17-06-2021 12:22,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,dislike,negative,10
3,18-04-2021 05:13,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,negative,15
4,06-01-2021 19:13,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,disgust,negative,0
5,23-08-2020 12:25,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,positive,30
6,07-12-2020 06:27,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,neutral,35
7,11-04-2021 17:35,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,cherish,positive,70
8,27-01-2021 08:32,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,negative,5
9,01-04-2021 22:54,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,neutral,35
11,07-11-2020 08:36,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,indifferent,neutral,20
12,02-11-2020 06:28,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,negative,15
13,01-11-2020 01:16,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,positive,30
14,07-10-2020 18:39,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,negative,5
15,03-09-2020 18:51,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,negative,15
16,24-02-2021 05:09,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,super love,positive,75
17,23-09-2020 06:24,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,neutral,35
18,24-02-2021 11:37,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,indifferent,neutral,20
19,22-05-2021 19:44,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,positive,30
21,20-11-2020 17:26,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,neutral,35
22,11-04-2021 20:47,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,worried,negative,12
23,13-06-2021 16:46,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,like,positive,50
24,11-04-2021 14:29,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,heart,positive,60
25,02-03-2021 19:21,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,worried,negative,12
26,27-06-2020 18:44,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,negative,5
27,09-05-2021 21:05,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,negative,5
28,04-08-2020 23:58,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,cherish,positive,70
29,28-08-2020 03:57,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,super love,positive,75
31,20-04-2021 23:48,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,negative,15
32,07-03-2021 12:40,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,positive,30
33,24-05-2021 03:21,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,indifferent,neutral,20
34,24-01-2021 11:03,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,super love,positive,75
35,09-04-2021 02:46,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,disgust,negative,0
36,02-02-2021 03:43,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,super love,positive,75
37,04-02-2021 03:06,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,positive,30
38,09-11-2020 02:49,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,dislike,negative,10
39,29-09-2020 16:00,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,negative,15
41,13-02-2021 07:54,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,want,positive,70
42,14-07-2020 05:28,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,positive,30
43,23-08-2020 10:30,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,indifferent,neutral,20
44,10-05-2021 09:27,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,worried,negative,12
45,15-03-2021 03:59,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,negative,5
47,25-06-2020 17:01,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,dislike,negative,10
48,13-09-2020 00:11,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,intrigued,positive,45
49,20-08-2020 18:17,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,peeking,neutral,35
50,11-02-2021 04:53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,scared,negative,15
51,08-03-2021 10:40,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,hate,negative,5
